가맹점명,서울페이앱분류업종,자치구명,기본주소
벧엘청과,식품,중랑구,서울특별시 중랑구 망우로73길 28-5
고등어소반,음식점,중구,"서울 중구 동호로12길 39,"
건강밝은약국,병원/약국,은평구,서울  은평구  연서로  216
장윤주 산부인과의원,병원/약국,구로구,"서울 구로구 남부순환로97길 3,"
세븐일레븐 방이프리미엄점,마트/슈퍼마켓,송파구,서울특별시 송파구 백제고분로50길 19-28
리시엘 살롱,뷰티/미용,강서구,서울특별시 강서구 공항대로 583
대림농산,식품,동대문구,서울  동대문구  제기1동
잉글리시아이뉴웨이수학학원,교육/서점,관악구,서울특별시 관악구 난우길 39
박재성의 메밀 숯불닭갈비,음식점,관악구,서울특별시 관악구 신원로 40-16
도원떡방,식품,마포구,서울특별시 마포구 백범로18길 32
이디야,제과점/커피,성북구,서울특별시 성북구 동소문로 119
본죽&비빔밥CAFE 문래홈플러스점,음식점,영등포구,서울특별시 영등포구 당산로 34
에시앙 주식회사,레저/스포츠,강서구,서울특별시 강서구 양천로 390
(주) 솔샘카페테리아,제과점/커피,송파구,"서울 송파구 송파대로 268,"
그리시아미용실,뷰티/미용,성동구,서울 성동구 마장로31길 43
화장품  도매프라자,뷰티/미용,성북구,서울 성북구 동소문로 9-2
밀크+허니,음식점,용산구,서울특별시 용산구 한강대로38길 35
홍능족발1977,음식점,성동구,서울특별시 성동구 왕십리로 309
츄스,음식점,성북구,서울특별시 성북구 삼선교로16길 35
GS25반포제일점,마트/슈퍼마켓,서초구,서울  서초구  서초동
송죽,음식점,금천구,"서울 금천구 가산디지털1로 186,"
모아요가 필라테스,레저/스포츠,성북구,서울특별시 성북구 종암로27길 13
지에스25(GS25) 오금후레쉬점,마트/슈퍼마켓,송파구,서울특별시 송파구 동남로23길 29
약손명가에스테틱(천호점),기타,강동구,서울특별시 강동구 천호대로 1012
홍스네일,뷰티/미용,강서구,"서울 강서구 곰달래로 162-1,"
이디야 가재울중앙점,제과점/커피,서대문구,"서울 서대문구 가재울미래로 2,"
바른치킨 상암점,음식점,마포구,서울특별시 마포구 매봉산로2길 1
혜민네일,뷰티/미용,강북구,"서울 강북구 삼양로 516, 1층 2호 (수유동)"
후헤어,뷰티/미용,동대문구,"서울 동대문구 장안벚꽃로 167,"
큐브 안경원,패션/잡화,광진구,"서울 광진구 아차산로 537-17,"
기분좋은치과의원,병원/약국,강서구,"서울 강서구 강서로13길 3,"
길동우동 서초역점,음식점,서초구,서울특별시 서초구 반포대로27길 13
맘스터치 위례중앙점,음식점,송파구,서울특별시 송파구 위례광장로 270
가원김밥,음식점,강남구,서울특별시 강남구 역삼로52길 14
우리집김밥,음식점,양천구,"서울 양천구 목동중앙북로 93,"
금산마트,마트/슈퍼마켓,송파구,서울특별시 송파구 동남로29길 8-10
제철과일(화성상회),식품,성동구,서울특별시 성동구 마장로29길 45
1%리버티커피,음식점,중구,서울특별시 중구 을지로 51
삼복한방닭한마리 장한평역점,음식점,동대문구,서울특별시 동대문구 천호대로85길 27
연세와이즈치과의원,병원/약국,동작구,서울특별시 동작구 현충로 75
아인스커피,음식점,구로구,서울특별시 구로구 가마산로23길 10
PARIS BAGUETTE,음식점,은평구,서울특별시 은평구 통일로 850
(주)봉구통상,기타,마포구,서울 마포구 큰우물로 10
착한마트,마트/슈퍼마켓,관악구,"서울 관악구 솔밭로7길 21,"
요기요거,음식점,마포구,서울특별시 마포구 희우정로20길 66
달고나과일,식품,강서구,서울특별시 강서구 강서로47길 108
피자스쿨구산역점,음식점,은평구,"서울 은평구 서오릉로 130,"
소문난상회,식품,관악구,서울 관악구 신원로5길 47
푸른성모이비인후과,병원/약국,강북구,"서울 강북구 한천로 1118,"
굿갓 레스토랑 성수역점,음식점,성동구,서울특별시 성동구 연무장길 41-22
기호네곱창,음식점,서대문구,서울특별시 서대문구 통일로 189
맘스터치 숭실대입구역점,음식점,동작구,서울특별시 동작구 상도로 366
곰발커피,음식점,종로구,서울 종로구 경희궁2길 9-1
그림작가의 네일샵,뷰티/미용,강동구,서울특별시 강동구 아리수로64길 38
여인천하 화장품,뷰티/미용,관악구,서울특별시 관악구 양지길 1
수앤정소아청소년과의원,병원/약국,강남구,"서울 강남구 자곡로 120,"
씨유 등촌능안점,마트/슈퍼마켓,강서구,"서울 강서구 등촌로39길 30,"
농장사람들주식회사 (서울대점),음식점,관악구,서울특별시 관악구 봉천로 462
양평동충전소,주유/충전,영등포구,서울특별시 영등포구 선유로 157
GS25 장안벤처빌,마트/슈퍼마켓,동대문구,서울특별시 동대문구 장한로 85
탑클래스수학학원,교육/서점,강서구,서울특별시 강서구 강서로45길 29
메가커피 우장산점,음식점,강서구,"서울 강서구 강서로45길 6,"
오토김밥 상암점,음식점,마포구,서울특별시 마포구 월드컵북로 434
해리아 미용재료,뷰티/미용,강동구,서울 강동구 양재대로89길 24
숲속북카페 산수유,음식점,강북구,서울 강북구 도봉로89길 13
파리바게뜨,제과점/커피,영등포구,서울  영등포구  당산동5가
종로떡집,식품,중랑구,서울 중랑구 동일로109길 61
수학의열매(e-해법수학),교육/서점,노원구,서울특별시 노원구 마들로 31
전농탁구클럽,레저/스포츠,동대문구,서울 동대문구 전농로16길 22
우미집 1947,음식점,마포구,서울 마포구 성미산로 153-9
이화통산,사무기기/PC,광진구,"서울 광진구 광나루로56길 85 ,"
명진미용실,뷰티/미용,양천구,"서울 양천구 목동동로 130,"
9카페,음식점,동대문구,서울특별시 동대문구 장한로 3
홍콩반점 신사역점,음식점,강남구,서울특별시 강남구 강남대로152길 43
우성약국,병원/약국,노원구,"서울 노원구 한글비석로 463,"
모아교육주식회사 동작점,교육/서점,영등포구,서울특별시 영등포구 여의대방로 79
59쌀피자,음식점,구로구,서울  구로구  항동
지인네일,뷰티/미용,광진구,"서울 광진구 광나루로 635,"
동네정육점,식품,관악구,서울특별시 관악구 서림길 16
"방잇골,방이능이버섯백숙삼계탕",음식점,송파구,서울특별시 송파구 위례성대로18길 31-14
김 가정의학과의원,병원/약국,은평구,"서울 은평구 은평로 5,"
삭,음식점,마포구,"서울 마포구 독막로 79,"
진미기사식당,음식점,동대문구,서울  동대문구  장안3동
블루밍이화미술교습소,교육/서점,송파구,"서울 송파구 위례광장로 199,"
